Financial Year,Funding Division,Award Rate Percentage
2013/14,Science,21
2013/14,Innovations,47
2013/14,Culture and Society,29
2014/15,Science,20
2014/15,Innovations,42
2014/15,Culture and Society,27
2015/16,Science,20
2015/16,Innovations,27
2015/16,Culture and Society,22
2016/17,Science,18
2016/17,Innovations,33
2016/17,Culture and Society,14
2017/18,Science,20
2017/18,Innovations,16
2017/18,Culture and Society,13
